url_from,url_to,nofollow,link_type,links_ext,link_text,first_seen,last_visited,domain_rank
https://www.brittanyspiszer.com/post/harmful-artist-stereotypes,https://www.samhsa.gov/find-help/national-helpline,follow,href,3,here,2021-11-21,2022-06-03 04:33:07,0
https://ptbo.edu.pl/alkotox/,https://www.samhsa.gov/find-help/national-helpline,nofollow,href,2,https://www.samhsa.gov/find-help/national-helpline,2022-06-03,2022-06-03 05:36:41,20
https://www.blueskypros.com/2020/01/11/caffeine-is-the-most-addictive-drug/,https://www.samhsa.gov/find-help/national-helpline,follow,href,23,Samhsa（药物滥用和心理健康服务管理局）,2021-07-08,2022-06-03 06:48:29,0
https://infinitetransfigurations.org/exercise-a-key-to-happiness/,https://www.samhsa.gov/find-help/national-helpline,follow,href,25,SAMHSA’s National Helpline,2021-07-01,2022-06-03 06:55:40,5
https://bravelittlemom.com/dear-husband/,https://www.samhsa.gov/find-help/national-helpline,follow,href,10,National Helpline for Mental Illness and Substance Abuse,2021-11-17,2022-06-03 08:51:39,23
https://www.emat-tx.org/news/7328250,https://www.samhsa.gov/find-help/national-helpline,follow,href,12,SAMHSA’s National Helpline,2020-10-07,2022-06-03 10:48:13,0
https://caregivercampground.com/40-70-is-just-too-damn-much/,https://www.samhsa.gov/find-help/national-helpline,follow,href,11,Most health professionals are extremely aware of the toll caregiving can take on your body and soul,2021-07-01,2022-06-03 11:07:57,5
https://www.beta.arcadia.edu/life-arcadia/campus-services/health-wellness-arcadia/counseling-services/support-first-year-students,https://www.samhsa.gov/find-help/national-helpline,follow,href,44,SAMHSA’s National Helpline,2020-11-28,2022-06-03 16:10:19,0
https://celebilicious.com/2021/09/28/louder-than-life-vendor-found-dead-after-apparent-overdose/,https://www.samhsa.gov/find-help/national-helpline,follow,href,14,Substance Abuse and Mental Health Services Administration,2021-11-26,2022-06-03 21:06:34,23
https://www.care1staz.com/az/members/links.asp,https://www.samhsa.gov/find-help/national-helpline,follow,href,109,Substance Abuse and Mental Health Services Administration (SAMHSA) Helpline,2021-09-18,2022-06-03 21:31:24,0
